l_bound_date,facility,common_name,parameter_type,day_or_night,min_value,percentile_5,percentile_25,median_value,average_value,percentile_75,percentile_95,max_value
2025-07-22,CC1,CEA1503,CO2 sensor,Night,2675.5,2675.5,2675.5,2675.5,2675.75,2676,2676,2676
2025-07-22,CC1,CEA1503,heating required,Night,0,0,0,0,0,0,0,0
2025-07-22,CC1,CEA1503,heating required,Day,1.35,1.35,1.35,17.95,14.48,24.15,24.15,24.15
2025-07-22,CC1,CEA1503,humidity,Night,43.05,48.4,48.5,48.7,48.71,49,49.6,50.85
2025-07-22,CC1,CEA1503,humidity,Day,41.3,41.7,41.7,41.8,41.87,41.8,41.9,47
2025-07-22,CC1,CEA1503,humidity target,Night,40,40,40,40,40,40,40,40
2025-07-22,CC1,CEA1503,indoor PAR light,Day,796,796.5,797,798,798.14,798,799,826.5
2025-07-22,CC1,CEA1503,indoor PAR light,Night,41,41,41,41,206.5,372,372,372
2025-07-22,CC1,CEA1503,indoor daily light integral,Night,0.02,0.06,0.28,0.57,12.09,0.87,47.12,47.15
2025-07-22,CC1,CEA1503,indoor daily light integral,Day,1.26,3.42,12.03,23.51,23.87,35,44.34,46.49
2025-07-22,CC1,CEA1503,light operation,Night,0,0,0,0,0,0,0,0
2025-07-22,CC1,CEA1503,light operation,Day,100,100,100,100,100,100,100,100
2025-07-22,CC1,CEA1503,temperature,Night,22.38,22.74,22.87,22.95,23.05,23.02,23.17,26.77
2025-07-22,CC1,CEA1503,temperature,Day,24.33,27.65,27.96,28.01,27.96,28.04,28.08,29.41
2025-07-22,CC1,CEA1503,temperature target,Night,23,23,23,23,24.24,25.49,25.49,25.49
2025-07-22,CC1,CEA1503,temperature target,Day,25.51,25.51,25.51,25.51,25.51,25.51,25.51,25.51
2025-07-22,CC1,CEA1503,vapor pressure deficit,Night,1.39,1.47,1.5,1.51,1.51,1.52,1.54,1.55
2025-07-22,CC1,CEA1503,vapor pressure deficit,Day,1.72,2.25,2.3,2.31,2.29,2.31,2.32,2.52
2025-07-22,CC1,CEA1503,vent required,Night,39.95,40.3,41.4,44.55,45.42,46.25,62.6,66.4
2025-07-22,CC1,CEA1503,vent required,Day,22.4,47.4,49.13,49.9,48.67,50.2,50.55,57.35
2025-07-22,CC1,CEA1504,CO2 sensor,Night,519,520,528,552,548.89,566.5,578,581
2025-07-22,CC1,CEA1504,CO2 sensor,Day,500,503,507,512,524.95,538,573,577
2025-07-22,CC1,CEA1504,heating required,Night,0,0,0,0,0,0,0,0
2025-07-22,CC1,CEA1504,humidity,Day,52.7,52.8,53.1,53.5,53.43,53.75,54,54.2
2025-07-22,CC1,CEA1504,humidity,Night,52.8,52.9,53.3,53.5,53.54,53.7,54.2,54.2
2025-07-22,CC1,CEA1504,humidity target,Night,50,50,50,50,50,50,50,50
2025-07-22,CC1,CEA1504,indoor PAR light,Night,42,42,42,42.5,42.5,43,43,43
2025-07-22,CC1,CEA1504,indoor PAR light,Day,39.5,39.5,42,42.5,42.31,43,43,43
2025-07-22,CC1,CEA1504,indoor daily light integral,Night,0.02,0.06,0.29,0.6,1.19,0.9,3.46,3.49
2025-07-22,CC1,CEA1504,indoor daily light integral,Day,0.94,1.05,1.51,2.12,2.12,2.69,3.12,3.22
2025-07-22,CC1,CEA1504,light operation,Night,0,0,0,0,0,0,0,0
2025-07-22,CC1,CEA1504,temperature,Night,20.87,20.88,20.96,21.09,21.11,21.25,21.34,21.37
2025-07-22,CC1,CEA1504,temperature,Day,20.87,20.89,20.96,21.11,21.11,21.27,21.35,21.37
2025-07-22,CC1,CEA1504,temperature target,Night,21.11,21.11,21.11,21.11,21.11,21.11,21.11,21.11
2025-07-22,CC1,CEA1504,vapor pressure deficit,Day,1.17,1.17,1.19,1.2,1.2,1.22,1.23,1.24
2025-07-22,CC1,CEA1504,vapor pressure deficit,Night,1.17,1.17,1.18,1.2,1.2,1.21,1.23,1.24
2025-07-22,CC1,CEA1504,vent required,Night,30.1,30.2,31.6,34.75,34.88,37.65,38.2,38.45
2025-07-22,CC1,CEA1504,vent required,Day,29.05,29.85,32.3,34.73,34.89,37.8,38.8,39.08
2025-07-22,CC1,CEA1505,CO2 sensor,Day,414,419,422,429,441.57,455,491,513
